Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,City_Country,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Person,Returned,Sales_Target,Latitude,Longitude,Geo
8704,CA-2015-133494,01.03.2018,05.03.2018,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19120,East,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,3.55,2,0.20,0.44,Chuck Magee,No,3,39.952,-75.163,"[39.952,-75.163]"
1318,CA-2017-157651,10.12.2020,14.12.2020,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19120,East,TEC-AC-10003116,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,14.20,1,0.20,3.37,Chuck Magee,No,1824,39.952,-75.163,"[39.952,-75.163]"
2173,CA-2014-152296,01.08.2017,03.08.2017,First Class,IL-15100,Ivan Liston,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,19.75,3,0.20,6.91,Anna Andreadi,No,20,37.774,-122.419,"[37.774,-122.419]"
2076,CA-2014-131051,01.12.2017,05.12.2017,Standard Class,TR-21325,Toby Ritter,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.20,3,0.00,28.52,Anna Andreadi,No,3609,37.774,-122.419,"[37.774,-122.419]"
3471,US-2016-150035,01.12.2019,05.12.2019,Standard Class,CL-11890,Carl Ludwig,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,16.74,2,0.00,4.35,Anna Andreadi,No,343,37.774,-122.419,"[37.774,-122.419]"
1068,CA-2016-157686,01.10.2019,02.10.2019,First Class,BD-11620,Brian DeCherney,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",194.85,4,0.20,12.18,Anna Andreadi,No,445,37.774,-122.419,"[37.774,-122.419]"
6736,CA-2016-123358,10.04.2019,17.04.2019,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-AP-10004980,Office Supplies,Appliances,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,113.76,3,0.00,44.37,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
6737,CA-2016-123358,10.04.2019,17.04.2019,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,579.51,3,0.00,81.13,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
6738,CA-2016-123358,10.04.2019,17.04.2019,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,150.66,9,0.00,06.03,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
6739,CA-2016-123358,10.04.2019,17.04.2019,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",48.03,4,0.20,15.61,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
895,CA-2016-105494,10.11.2019,12.11.2019,First Class,PC-18745,Pamela Coakley,Corporate,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-ST-10002205,Office Supplies,Storage,File Shuttle I and Handi-File,155.82,7,0.00,42.07,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
1292,CA-2016-163384,10.11.2019,12.11.2019,First Class,CC-12430,Chuck Clark,Home Office,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-PA-10003172,Office Supplies,Paper,Xerox 1996,32.40,5,0.00,15.55,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
896,CA-2016-105494,10.11.2019,12.11.2019,First Class,PC-18745,Pamela Coakley,Corporate,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-BI-10003364,Office Supplies,Binders,Binding Machine Supplies,70.01,3,0.20,24.50,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
1291,CA-2016-163384,10.11.2019,12.11.2019,First Class,CC-12430,Chuck Clark,Home Office,United States,San Francisco,"San Francisco, California, United States",California,94122,West,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",13.22,4,0.20,4.46,Anna Andreadi,No,,37.774,-122.419,"[37.774,-122.419]"
1506,CA-2015-153388,01.08.2018,07.08.2018,Standard Class,PC-19000,Pauline Chand,Home Office,United States,Los Angeles,"Los Angeles, California, United States",California,90004,West,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1 004.98,6,0.20,-175.87,Anna Andreadi,No,1035,34.052,-118.243,"[34.052,-118.243]"
1505,CA-2015-153388,01.08.2018,07.08.2018,Standard Class,PC-19000,Pauline Chand,Home Office,United States,Los Angeles,"Los Angeles, California, United States",California,90004,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,6.72,4,0.00,3.36,Anna Andreadi,No,7,34.052,-118.243,"[34.052,-118.243]"
9205,CA-2016-104689,01.12.2019,05.12.2019,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Los Angeles,"Los Angeles, California, United States",California,90004,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",23.04,8,0.00,6.91,Anna Andreadi,Yes,,34.052,-118.243,"[34.052,-118.243]"
581,CA-2015-132906,10.09.2018,14.09.2018,Standard Class,CC-12145,Charles Crestani,Consumer,United States,Los Angeles,"Los Angeles, California, United States",California,90004,West,OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,51.52,4,0.00,1.55,Anna Andreadi,No,371,34.052,-118.243,"[34.052,-118.243]"
1848,CA-2017-128370,10.09.2020,10.09.2020,Same Day,FH-14275,Frank Hawley,Corporate,United States,Los Angeles,"Los Angeles, California, United States",California,90004,West,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,362.35,3,0.20,27.18,Anna Andreadi,No,138,34.052,-118.243,"[34.052,-118.243]"
1849,CA-2017-128370,10.09.2020,10.09.2020,Same Day,FH-14275,Frank Hawley,Corporate,United States,Los Angeles,"Los Angeles, California, United States",California,90004,West,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,7.18,2,0.20,2.24,Anna Andreadi,No,849,34.052,-118.243,"[34.052,-118.243]"
8523,US-2016-160206,01.04.2019,07.04.2019,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Milwaukee,"Milwaukee, Wisconsin, United States",Wisconsin,53209,Central,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,12.99,1,0.00,0.26,Kelly Williams,No,,43.038,-87.906,"[43.038,-87.906]"
1793,CA-2014-120474,01.12.2017,03.12.2017,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,"Madison, Wisconsin, United States",Wisconsin,53711,Central,OFF-AR-10000475,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",46.64,4,0.00,12.59,Kelly Williams,No,89,43.073,-89.401,"[43.073,-89.401]"
1792,CA-2014-120474,01.12.2017,03.12.2017,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,"Madison, Wisconsin, United States",Wisconsin,53711,Central,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2 807.84,8,0.00,673.88,Kelly Williams,No,3609,43.073,-89.401,"[43.073,-89.401]"
7771,CA-2016-155978,01.08.2019,01.08.2019,Same Day,TS-21205,Thomas Seio,Corporate,United States,Riverside,"Riverside, California, United States",California,92503,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,45.96,2,0.00,13.79,Anna Andreadi,No,,33.953,-117.396,"[33.953,-117.396]"
7770,CA-2016-155978,01.08.2019,01.08.2019,Same Day,TS-21205,Thomas Seio,Corporate,United States,Riverside,"Riverside, California, United States",California,92503,West,TEC-PH-10002885,Technology,Phones,Apple iPhone 5,1 039.73,2,0.20,90.98,Anna Andreadi,No,,33.953,-117.396,"[33.953,-117.396]"
6962,CA-2017-162096,10.11.2020,10.11.2020,Same Day,TB-21190,Thomas Brumley,Home Office,United States,Riverside,"Riverside, California, United States",California,92503,West,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,7.80,3,0.00,2.11,Anna Andreadi,No,,33.953,-117.396,"[33.953,-117.396]"
7102,CA-2016-144337,01.08.2019,05.08.2019,Second Class,SG-20890,Susan Gilcrest,Corporate,United States,Amarillo,"Amarillo, Texas, United States",Texas,79109,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,19.65,2,0.20,6.63,Kelly Williams,No,,35.222,-101.831,"[35.222,-101.831]"
2667,CA-2016-111794,01.10.2019,01.10.2019,Same Day,HG-15025,Hunter Glantz,Consumer,United States,Amarillo,"Amarillo, Texas, United States",Texas,79109,Central,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,79.51,3,0.20,20.87,Kelly Williams,No,,35.222,-101.831,"[35.222,-101.831]"
2668,CA-2016-111794,01.10.2019,01.10.2019,Same Day,HG-15025,Hunter Glantz,Consumer,United States,Amarillo,"Amarillo, Texas, United States",Texas,79109,Central,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,28.35,1,0.20,9.57,Kelly Williams,No,2,35.222,-101.831,"[35.222,-101.831]"
541,CA-2014-140795,01.02.2017,03.02.2017,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,"Green Bay, Wisconsin, United States",Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.90,6,0.00,206.32,Kelly Williams,No,,44.519,-88.019,"[44.519,-88.019]"
9155,CA-2016-132990,01.08.2019,03.08.2019,Second Class,KM-16660,Khloe Miller,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,FUR-FU-10004864,Furniture,Furnishings,Eldon 500 Class Desk Accessories,19.31,2,0.20,3.14,Chuck Magee,No,240,39.952,-75.163,"[39.952,-75.163]"
9280,CA-2017-122539,01.12.2020,05.12.2020,Standard Class,SC-20305,Sean Christensen,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,398.97,2,0.30,-28.50,Chuck Magee,No,2804,39.952,-75.163,"[39.952,-75.163]"
9279,CA-2017-122539,01.12.2020,05.12.2020,Standard Class,SC-20305,Sean Christensen,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-BI-10001759,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",8.00,7,0.70,-5.60,Chuck Magee,No,365,39.952,-75.163,"[39.952,-75.163]"
9278,CA-2017-122539,01.12.2020,05.12.2020,Standard Class,SC-20305,Sean Christensen,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-LA-10004853,Office Supplies,Labels,Avery 483,15.94,4,0.20,5.18,Chuck Magee,No,365,39.952,-75.163,"[39.952,-75.163]"
1647,CA-2015-105221,01.11.2018,03.11.2018,First Class,VM-21685,Valerie Mitchum,Home Office,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,35.36,2,0.20,-3.09,Chuck Magee,No,30,39.952,-75.163,"[39.952,-75.163]"
1648,CA-2015-105221,01.11.2018,03.11.2018,First Class,VM-21685,Valerie Mitchum,Home Office,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",3.17,2,0.20,-0.71,Chuck Magee,No,3,39.952,-75.163,"[39.952,-75.163]"
2143,CA-2016-155481,01.09.2019,05.09.2019,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",30.48,6,0.20,9.91,Chuck Magee,No,,39.952,-75.163,"[39.952,-75.163]"
2145,CA-2016-155481,01.09.2019,05.09.2019,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,16.69,7,0.20,5.42,Chuck Magee,No,,39.952,-75.163,"[39.952,-75.163]"
2144,CA-2016-155481,01.09.2019,05.09.2019,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,23.99,2,0.40,-4.80,Chuck Magee,No,,39.952,-75.163,"[39.952,-75.163]"
1689,CA-2017-143798,10.12.2020,12.12.2020,First Class,AW-10840,Anthony Witt,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,FUR-FU-10004306,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,310.88,2,0.20,23.32,Chuck Magee,No,,39.952,-75.163,"[39.952,-75.163]"
1688,CA-2017-143798,10.12.2020,12.12.2020,First Class,AW-10840,Anthony Witt,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-PA-10000788,Office Supplies,Paper,Xerox 210,10.37,2,0.20,3.63,Chuck Magee,No,685,39.952,-75.163,"[39.952,-75.163]"
4583,CA-2016-121993,10.06.2019,12.06.2019,First Class,JB-16000,Joy Bell-,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-LA-10003720,Office Supplies,Labels,Avery 487,23.62,8,0.20,7.97,Chuck Magee,No,,39.952,-75.163,"[39.952,-75.163]"
4294,CA-2017-130967,10.03.2020,16.03.2020,Standard Class,EB-13870,Emily Burns,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),53.98,3,0.40,-10.80,Chuck Magee,No,432,39.952,-75.163,"[39.952,-75.163]"
9552,CA-2015-147690,10.11.2018,14.11.2018,Standard Class,SC-20020,Sam Craven,Consumer,United States,Philadelphia,"Philadelphia, Pennsylvania, United States",Pennsylvania,19140,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,577.58,6,0.20,43.32,Chuck Magee,No,635,39.952,-75.163,"[39.952,-75.163]"
6683,CA-2017-154466,01.01.2020,02.01.2020,First Class,DP-13390,Dennis Pardue,Home Office,United States,Franklin,"Franklin, Wisconsin, United States",Wisconsin,53132,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,3.60,2,0.00,1.73,Kelly Williams,No,,42.888,-88.038,"[42.888,-88.038]"
1834,CA-2017-162691,01.08.2020,07.08.2020,Standard Class,AS-10045,Aaron Smayling,Corporate,United States,Austin,"Austin, Texas, United States",Texas,78745,Central,TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,1 439.98,3,0.40,-264.00,Kelly Williams,No,,30.267,-97.743,"[30.267,-97.743]"
1835,CA-2017-162691,01.08.2020,07.08.2020,Standard Class,AS-10045,Aaron Smayling,Corporate,United States,Austin,"Austin, Texas, United States",Texas,78745,Central,OFF-PA-10003729,Office Supplies,Paper,Xerox 1998,36.29,7,0.20,12.70,Kelly Williams,No,217,30.267,-97.743,"[30.267,-97.743]"
3504,CA-2017-125115,10.04.2020,10.04.2020,Same Day,RD-19930,Russell D'Ascenzo,Consumer,United States,Austin,"Austin, Texas, United States",Texas,78745,Central,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,95.74,3,0.20,20.34,Kelly Williams,No,,30.267,-97.743,"[30.267,-97.743]"
3503,CA-2017-125115,10.04.2020,10.04.2020,Same Day,RD-19930,Russell D'Ascenzo,Consumer,United States,Austin,"Austin, Texas, United States",Texas,78745,Central,OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,10.37,2,0.20,3.63,Kelly Williams,No,686,30.267,-97.743,"[30.267,-97.743]"
7724,CA-2015-139374,10.09.2018,14.09.2018,Standard Class,AR-10345,Alex Russell,Corporate,United States,Austin,"Austin, Texas, United States",Texas,78745,Central,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,179.89,1,0.30,-2.57,Kelly Williams,No,584,30.267,-97.743,"[30.267,-97.743]"
1010,CA-2017-135034,01.08.2020,03.08.2020,First Class,AT-10735,Annie Thurman,Consumer,United States,Chicago,"Chicago, Illinois, United States",Illinois,60653,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,95.98,2,0.20,6.00,Kelly Williams,No,309,41.85,-87.65,"[41.85,-87.65]"
7474,CA-2016-109652,10.04.2019,15.04.2019,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Chicago,"Chicago, Illinois, United States",Illinois,60653,Central,OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",13.57,4,0.20,3.22,Kelly Williams,No,31,41.85,-87.65,"[41.85,-87.65]"
2847,CA-2017-152093,10.09.2020,15.09.2020,Standard Class,SN-20560,Skye Norling,Home Office,United States,Chicago,"Chicago, Illinois, United States",Illinois,60653,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,762.59,3,0.80,-1 143.89,Kelly Williams,No,,41.85,-87.65,"[41.85,-87.65]"
2186,CA-2017-124576,01.08.2020,04.08.2020,Second Class,HK-14890,Heather Kirkland,Corporate,United States,Salinas,"Salinas, California, United States",California,93905,West,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,54.90,2,0.20,18.53,Anna Andreadi,No,217,36.677,-121.655,"[36.677,-121.655]"
6912,CA-2017-168942,01.08.2020,05.08.2020,Second Class,EM-13960,Eric Murdock,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94109,West,OFF-ST-10004340,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",186.54,3,0.00,50.37,Anna Andreadi,No,48,37.774,-122.419,"[37.774,-122.419]"
6348,CA-2015-104486,01.05.2018,06.05.2018,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94109,West,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",12.18,1,0.20,4.41,Anna Andreadi,No,72,37.774,-122.419,"[37.774,-122.419]"
6349,CA-2015-104486,01.05.2018,06.05.2018,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94109,West,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,37.32,3,0.00,10.45,Anna Andreadi,No,72,37.774,-122.419,"[37.774,-122.419]"
6350,CA-2015-104486,01.05.2018,06.05.2018,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94109,West,OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",35.06,2,0.00,10.52,Anna Andreadi,No,72,37.774,-122.419,"[37.774,-122.419]"
250,CA-2016-154739,10.12.2019,15.12.2019,Second Class,LH-17155,Logan Haushalter,Consumer,United States,San Francisco,"San Francisco, California, United States",California,94109,West,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,2,0.20,28.14,Anna Andreadi,No,1152,37.774,-122.419,"[37.774,-122.419]"
6689,CA-2017-140494,10.03.2020,15.03.2020,Second Class,CM-11815,Candace McMahon,Corporate,United States,San Francisco,"San Francisco, California, United States",California,94109,West,TEC-AC-10004568,Technology,Accessories,Maxell LTO Ultrium - 800 GB,111.96,4,0.00,21.27,Anna Andreadi,No,216,37.774,-122.419,"[37.774,-122.419]"
4719,CA-2015-109736,10.10.2018,11.10.2018,First Class,DJ-13420,Denny Joy,Corporate,United States,San Francisco,"San Francisco, California, United States",California,94109,West,OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,45.36,7,0.00,21.77,Anna Andreadi,Yes,84,37.774,-122.419,"[37.774,-122.419]"
9753,US-2016-158680,01.07.2019,02.07.2019,First Class,NZ-18565,Nick Zandusky,Home Office,United States,Seattle,"Seattle, Washington, United States",Washington,98115,West,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,2.50,1,0.20,0.90,Anna Andreadi,No,,47.606,-122.332,"[47.606,-122.332]"
158,CA-2014-104269,01.03.2017,06.03.2017,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,"Seattle, Washington, United States",Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,0.20,51.48,Anna Andreadi,No,1247,47.606,-122.332,"[47.606,-122.332]"
1374,US-2014-157021,01.04.2017,06.04.2017,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,"Vallejo, California, United States",California,94591,West,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.09,4,0.20,5.55,Anna Andreadi,No,46,38.104,-122.256,"[38.104,-122.256]"
1373,US-2014-157021,01.04.2017,06.04.2017,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,"Vallejo, California, United States",California,94591,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,29.60,2,0.00,14.80,Anna Andreadi,No,46,38.104,-122.256,"[38.104,-122.256]"
