Address;CategoryID;Category;City;Customer Company;Shippers Company;Customer;Country;EmployeeID;Fax;OrderDate;OrderID;Phone;PostalCode;ProductID;Product;ShipperID;StateProvince;SupplierID;Discount;Freight;Quantity;QuantityPerUnit;UnitCost;UnitPrice;UnitPrice (Products);UnitsInStock;UnitsOnOrder;Sales;Profit;City and Counry
Carrera 52 con Ave. Bol?var #65-98 Llano Largo;3;Кондитерские изделия;Баргусимето;Лос Ватос Локос;ТрансАвтоГруз;Tony Montana;Италия;2;(9) 331-7256;15.01.2004;10357;(9) 331-6954;3508;26;Пирожное Восточное;2;;11;0;65.97;16;1;26.13;29.44;31.23;15;0;#ЗНАЧ!;#ЗНАЧ!;Баргусимето, Италия
Carrera 52 con Ave. Bol?var #65-98 Llano Largo;3;Кондитерские изделия;Баргусимето;Лос Ватос Локос;ТрансАвтоГруз;Tony Montana;Канада;2;(9) 331-7256;15.01.2004;10357;(9) 331-6954;3508;60;Сладкий снек;2;;28;0.2;65.97;8;53;апр.44;апр.86;5;19;0;252024;122720;Баргусимето, Канада
Carrera 52 con Ave. Bol?var #65-98 Llano Largo;8;Приправы;Баргусимето;Лос Ватос Локос;ТрансАвтоГруз;Tony Montana;Мексика;2;(9) 331-7256;15.01.2004;10357;(9) 331-6954;3508;10;Кориандр;2;;4;0.2;65.97;30;20;06.фев;июн.51;7;31;0;563400;-785490;Баргусимето, Мексика
Taucherstra?e 10;3;Кондитерские изделия;Кюневальд;Грюнвальд;ТрансАвтоГруз;George Essen;Норвегия;8;;17.01.2004;10286;0372-035188;1307;62;Шоколад Молочное Чудо;2;;29;0;42.17;40;30;25.39;30.28;29.мар;17;0;#ЗНАЧ!;#ЗНАЧ!;Кюневальд, Норвегия
Taucherstra?e 10;4;Молочные продукты;Кюневальд;Грюнвальд;ТрансАвтоГруз;George Essen;Польша;8;;17.01.2004;10286;0372-035188;1307;35;Творожный сырок;2;;16;0;42.17;100;14;май.17;06.июн;6;20;0;4508300;222700;Кюневальд, Польша
Av. Copacabana, 267;3;Кондитерские изделия;Рио де Жанейро;Минидисконт;ТрансАвтоГруз;Thom? Lindao;Португалия;2;;18.01.2004;10287;(21) 555-3412;02389-890;16;Печенье сдобное;2;;7;0.15;70.97;40;24;июл.33;авг.88;сен.45;29;0;1294240;804800;Рио де Жанейро, Португалия
Av. Copacabana, 267;4;Молочные продукты;Рио де Жанейро;Минидисконт;ТрансАвтоГруз;Thom? Lindao;США;2;;18.01.2004;10287;(21) 555-3412;02389-890;34;Кефир;2;;16;0;70.97;20;12;июн.76;июл.67;8;111;0;493080;-65160;Рио де Жанейро, США
Av. Copacabana, 267;8;Приправы;Рио де Жанейро;Минидисконт;ТрансАвтоГруз;Thom? Lindao;Финляндия;2;;18.01.2004;10287;(21) 555-3412;02389-890;46;Укроп;2;;21;0.15;70.97;15;40;09.июл;дек.23;12;95;0;678915;2175;Рио де Жанейро, Финляндия
Carrera 52 con Ave. Bol?var #65-98 Llano Largo;1;Фрукты;Баргусимето;Лос Ватос Локос;ТрансАвтоГруз;Tony Montana;Франция;2;(9) 331-7256;02.02.2004;10296;(9) 331-6954;3508;11;Киви;2;;5;0;22.апр;12;25;21.янв;26.62;28;22;30;#ЗНАЧ!;#ЗНАЧ!;Баргусимето, Франция
Carrera 52 con Ave. Bol?var #65-98 Llano Largo;3;Кондитерские изделия;Баргусимето;Лос Ватос Локос;ТрансАвтоГруз;Tony Montana;Швейцария;2;(9) 331-7256;02.02.2004;10296;(9) 331-6954;3508;16;Печенье сдобное;2;;7;0;22.апр;30;24;июл.33;сен.36;сен.45;29;0;401820;34740;Баргусимето, Швейцария
Carrera 52 con Ave. Bol?var #65-98 Llano Largo;3;Кондитерские изделия;Баргусимето;Лос Ватос Локос;ТрансАвтоГруз;Tony Montana;Швеция;2;(9) 331-7256;02.02.2004;10296;(9) 331-6954;3508;69;Булка-улитка;2;;15;0;22.апр;15;100;янв.65;янв.89;2;26;0;487635;131490;Баргусимето, Швеция
5? Ave. Los Palos Grandes;2;Овощи;Каракас;Венесуэльские продукты;ТрансАвтоГруз;Antonio Palmer Amer;Венесуэла;3;(2) 283-3397;25.02.2004;10268;(2) 283-2951;1081;72;Перец болгарский;2;;14;0;69.28;4;30;авг.96;дек.64;11.авг;14;0;94848;-46264;Каракас, Венесуэла
5? Ave. Los Palos Grandes;6;Морепродукты;Каракас;Венесуэльские продукты;ТрансАвтоГруз;Antonio Palmer Amer;Венесуэла;3;(2) 283-3397;25.02.2004;10268;(2) 283-2951;1081;29;Креветки;2;;12;0;69.28;10;1;100.74;117.3;123.79;0;0;#ЗНАЧ!;#ЗНАЧ!;Каракас, Венесуэла
Berguvsv?gen 8;2;Овощи;Лулеа;Магазин для всей семьи;ТрансАвтоГруз;Urra Gurra Aktersnurra;Швеция;2;0921-12 34 67;09.03.2004;10278;0921-12 34 65;S-958 22;63;Кабачок;2;;7;0;50.46;8;68;15.сен;21.фев;19.сен;24;0;359824;-1648;Лулеа, Швеция
Berguvsv?gen 8;2;Овощи;Лулеа;Магазин для всей семьи;ТрансАвтоГруз;Urra Gurra Aktersnurra;Швеция;2;0921-12 34 67;09.03.2004;10278;0921-12 34 65;S-958 22;44;Батат;2;;20;0;50.46;16;7;67.17;80.78;75.45;27;0;#ЗНАЧ!;#ЗНАЧ!;Лулеа, Швеция
Berguvsv?gen 8;3;Кондитерские изделия;Лулеа;Магазин для всей семьи;ТрансАвтоГруз;Urra Gurra Aktersnurra;Швеция;2;0921-12 34 67;09.03.2004;10278;0921-12 34 65;S-958 22;59;Чупа-Чупс;2;;28;0;50.46;15;105;июн.69;авг.57;08.май;79;0;315495;-64830;Лулеа, Швеция
Berguvsv?gen 8;8;Приправы;Лулеа;Магазин для всей семьи;ТрансАвтоГруз;Urra Gurra Aktersnurra;Швеция;2;0921-12 34 67;09.03.2004;10278;0921-12 34 65;S-958 22;73;Лавровый лист;2;;17;0;50.46;25;100;0.89;01.июл;01.янв;101;0;1127700;#ЗНАЧ!;Лулеа, Швеция
Rua da Panificadora, 12;2;Овощи;Рио де Жанейро;Копакобана;ТрансАвтоГруз;Giovanni Santhos;Бразилия;2;(21) 555-4545;24.03.2004;10291;(21) 555-4252;02389-673;44;Батат;2;;20;0.1;21.авг;24;7;67.17;82.68;75.45;27;0;#ЗНАЧ!;#ЗНАЧ!;Рио де Жанейро, Бразилия
Rua da Panificadora, 12;6;Морепродукты;Рио де Жанейро;Копакобана;ТрансАвтоГруз;Giovanni Santhos;Бразилия;2;(21) 555-4545;24.03.2004;10291;(21) 555-4252;02389-673;51;Мидии;2;;24;0.1;21.авг;2;10;82.74;106.56;99.9;20;0;#ЗНАЧ!;#ЗНАЧ!;Рио де Жанейро, Бразилия
Rua da Panificadora, 12;8;Приправы;Рио де Жанейро;Копакобана;ТрансАвтоГруз;Giovanni Santhos;Бразилия;2;(21) 555-4545;24.03.2004;10291;(21) 555-4252;02389-673;13;Корица;2;;6;0.1;21.авг;20;25;21.ноя;23.мар;25;24;0;900160;-4860;Рио де Жанейро, Бразилия
8 Johnstown Road;1;Фрукты;Корк;Волынка;ТрансАвтоГруз;Robert Bolero;Ирландия;2;########;02.04.2004;10298;2 967 542;125 80;2;Апельсин;2;;1;0;78.52;40;10;16.17;17.54;19;17;40;#ЗНАЧ!;#ЗНАЧ!;Корк, Ирландия
8 Johnstown Road;3;Кондитерские изделия;Корк;Волынка;ТрансАвтоГруз;Robert Bolero;Ирландия;2;########;02.04.2004;10298;2 967 542;125 80;59;Чупа-Чупс;2;;28;0.25;78.52;30;105;июн.69;сен.15;08.май;79;0;1267440;506790;Корк, Ирландия
8 Johnstown Road;3;Кондитерские изделия;Корк;Волынка;ТрансАвтоГруз;Robert Bolero;Ирландия;2;########;02.04.2004;10298;2 967 542;125 80;62;Шоколад Молочное Чудо;2;;29;0;78.52;15;30;25.39;28;29.мар;17;0;420;#ЗНАЧ!;Корк, Ирландия
8 Johnstown Road;8;Приправы;Корк;Волынка;ТрансАвтоГруз;Robert Bolero;Ирландия;2;########;02.04.2004;10298;2 967 542;125 80;36;Тмин;2;;17;0.25;78.52;40;20;июн.45;июл.34;8;112;0;504040;-159520;Корк, Ирландия
Via Ludovico il Moro 22;2;Овощи;Бергамо;Караван;ТрансСервис;Luca Brassi;Италия;6;035-640231;06.04.2004;10300;035-640230;24100;66;Цветная капуста;1;;2;0;71.44;30;15;16.58;19.89;19;4;100;#ЗНАЧ!;#ЗНАЧ!;Бергамо, Италия
Via Ludovico il Moro 22;3;Кондитерские изделия;Бергамо;Караван;ТрансСервис;Luca Brassi;Италия;6;035-640231;06.04.2004;10300;035-640230;24100;68;Сладкий батончик;1;;8;0;71.44;20;1;сен.67;ноя.27;12.май;6;10;933840;439520;Бергамо, Италия
Avda. Azteca 123;8;Приправы;Мехико;Дон Педро;АвтоЛогистика;Peloto Gomez;Мексика;1;;05.05.2004;10276;(5) 555-2933;5033;10;Кориандр;3;;4;0;22.95;15;20;06.фев;июн.92;7;31;0;506340;-168105;Мехико, Мексика
Avda. Azteca 123;8;Приправы;Мехико;Дон Педро;АвтоЛогистика;Peloto Gomez;Мексика;1;;05.05.2004;10276;(5) 555-2933;5033;13;Корица;3;;6;0;22.95;10;25;21.ноя;27.45;25;24;0;#ЗНАЧ!;#ЗНАЧ!;Мехико, Мексика
Obere Str. 57;6;Морепродукты;Берлин;Копейка;ТрансАвтоГруз;Albert von Einstein;Германия;8;030-0076545;22.05.2004;10338;030-0074321;12209;17;Кальмары;2;;7;0;52.33;20;36;19.35;26.24;25;0;0;#ЗНАЧ!;#ЗНАЧ!;Берлин, Германия
Obere Str. 57;8;Приправы;Берлин;Копейка;ТрансАвтоГруз;Albert von Einstein;Германия;8;030-0076545;22.05.2004;10338;030-0074321;12209;30;Прованские травы;2;;13;0;52.33;15;1;22.71;25.апр;25.89;10;0;675615;#ЗНАЧ!;Берлин, Германия
43 rue St. Laurent;2;Овощи;Монреаль;Давенпорт;АвтоЛогистика;James Belucci;Канада;1;(514) 555-8055;25.05.2004;10339;(514) 555-8054;H1J 1C3;4;Огурец;3;QC;2;0;58.76;10;15;19.34;21.32;22;53;0;#ЗНАЧ!;#ЗНАЧ!;Монреаль, Канада
43 rue St. Laurent;3;Кондитерские изделия;Монреаль;Давенпорт;АвтоЛогистика;James Belucci;Канада;1;(514) 555-8055;25.05.2004;10339;(514) 555-8054;H1J 1C3;62;Шоколад Молочное Чудо;3;QC;29;0;58.76;28;30;25.39;30.61;29.мар;17;0;#ЗНАЧ!;#ЗНАЧ!;Монреаль, Канада
43 rue St. Laurent;6;Морепродукты;Монреаль;Давенпорт;АвтоЛогистика;James Belucci;Канада;1;(514) 555-8055;25.05.2004;10339;(514) 555-8054;H1J 1C3;17;Кальмары;3;QC;7;0.05;58.76;70;36;19.35;24.46;25;0;0;#ЗНАЧ!;#ЗНАЧ!;Монреаль, Канада
"Suite 3B""";2;Овощи;Сиэттл;Нирвана;ТрансАвтоГруз;Alice Chain;США;2;(206) 555-4115;29.05.2004;10344;(206) 555-4112;98128;4;Огурец;2;WA;2;0;22.69;35;15;19.34;20.78;22;53;0;#ЗНАЧ!;#ЗНАЧ!;Сиэттл, США
"Suite 3B""";2;Овощи;Сиэттл;Нирвана;ТрансАвтоГруз;Alice Chain;США;2;(206) 555-4115;29.05.2004;10344;(206) 555-4112;98128;8;Картофель Сорт 1;2;WA;3;0.25;22.69;70;20;16.14;19.апр;20;6;0;3152450;#ЗНАЧ!;Сиэттл, США
Rua Or?s, 92;1;Фрукты;Сан Паоло;Овощной базар;ТрансАвтоГруз;Romario do Sauza;Бразилия;2;;03.06.2004;10347;(11) 555-9857;05442-030;75;Хурма;2;;12;0.15;28.29;6;1;июн.61;июл.75;июл.75;125;0;165456;30858;Сан Паоло, Бразилия
Rua Or?s, 92;2;Овощи;Сан Паоло;Овощной базар;ТрансАвтоГруз;Romario do Sauza;Бразилия;2;;03.06.2004;10347;(11) 555-9857;05442-030;39;Кукуруза;2;;18;0.15;28.29;50;3;48.17;58.72;60;69;0;#ЗНАЧ!;#ЗНАЧ!;Сан Паоло, Бразилия
Rua Or?s, 92;3;Кондитерские изделия;Сан Паоло;Овощной базар;ТрансАвтоГруз;Romario do Sauza;Бразилия;2;;03.06.2004;10347;(11) 555-9857;05442-030;25;Пирожное Медовик;2;;11;0;28.29;10;1;окт.85;13.21;14;76;0;#ЗНАЧ!;#ЗНАЧ!;Сан Паоло, Бразилия
Rua Or?s, 92;8;Приправы;Сан Паоло;Овощной базар;ТрансАвтоГруз;Romario do Sauza;Бразилия;2;;03.06.2004;10347;(11) 555-9857;05442-030;40;Имбирь;2;;19;0;28.29;4;1;16.34;17;18.апр;123;0;68;#ЗНАЧ!;Сан Паоло, Бразилия
1900 Oak St.;2;Овощи;Ванкувер;Милелниум;АвтоЛогистика;Joe Barry;Канада;1;(604) 555-7293;08.06.2004;10351;(604) 555-3392;V3F 2K1;65;Чеснок;3;BC;2;0.05;65.12;10;40;авг.68;10.авг;10.май;76;0;451480;200970;Ванкувер, Канада
1900 Oak St.;2;Овощи;Ванкувер;Милелниум;АвтоЛогистика;Joe Barry;Канада;1;(604) 555-7293;08.06.2004;10351;(604) 555-3392;V3F 2K1;38;Баклажан;3;BC;18;0.05;65.12;20;4;62.38;75.04;80.5;17;0;#ЗНАЧ!;#ЗНАЧ!;Ванкувер, Канада
1900 Oak St.;2;Овощи;Ванкувер;Милелниум;АвтоЛогистика;Joe Barry;Канада;1;(604) 555-7293;08.06.2004;10351;(604) 555-3392;V3F 2K1;44;Батат;3;BC;20;0.05;65.12;77;7;67.17;73.74;75.45;27;0;#ЗНАЧ!;#ЗНАЧ!;Ванкувер, Канада
1900 Oak St.;8;Приправы;Ванкувер;Милелниум;АвтоЛогистика;Joe Barry;Канада;1;(604) 555-7293;08.06.2004;10351;(604) 555-3392;V3F 2K1;41;Зира;3;BC;19;0;65.12;13;1;июл.28;окт.42;сен.65;85;0;202995;-407160;Ванкувер, Канада
Magazinweg 7;3;Кондитерские изделия;Франкфурт;ВАРП АГ;ТрансАвтоГруз;Klaus Deum;Германия;8;069-0245874;22.06.2004;10362;069-0245984;60528;25;Пирожное Медовик;2;;11;0;40.91;50;1;окт.85;15.апр;14;76;0;2251550;685500;Франкфурт, Германия
Magazinweg 7;3;Кондитерские изделия;Франкфурт;ВАРП АГ;ТрансАвтоГруз;Klaus Deum;Германия;8;069-0245874;22.06.2004;10362;069-0245984;60528;54;Десерт медовый;2;;25;0;40.91;24;24;30.27;37.07;35.45;21;0;#ЗНАЧ!;#ЗНАЧ!;Франкфурт, Германия
Magazinweg 7;6;Морепродукты;Франкфурт;ВАРП АГ;ТрансАвтоГруз;Klaus Deum;Германия;8;069-0245874;22.06.2004;10362;069-0245984;60528;51;Мидии;2;;24;0;40.91;20;10;82.74;109.79;99.9;20;0;#ЗНАЧ!;#ЗНАЧ!;Франкфурт, Германия
35 King George;1;Фрукты;Лондон;Продуктовый магазин;ТрансАвтоГруз;Greg Thatcher;Англия;2;(171) 555-3373;23.06.2004;10364;(171) 555-0297;WX1 6LT;71;Персик;2;;15;0;33.65;5;10;26.49;29.73;30.май;26;0;#ЗНАЧ!;#ЗНАЧ!;Лондон, Англия
35 King George;3;Кондитерские изделия;Лондон;Продуктовый магазин;ТрансАвтоГруз;Greg Thatcher;Англия;2;(171) 555-3373;23.06.2004;10364;(171) 555-0297;WX1 6LT;69;Булка-улитка;2;;15;0;33.65;30;100;янв.65;02.май;2;26;0;1351440;639150;Лондон, Англия
C/ Ritual de lo Habitual 2312;1;Фрукты;Мехико;Перекресток;ТрансАвтоГруз;Sancho Panza;Мексика;2;;24.06.2004;10365;(5) 555-3932;5023;11;Киви;2;;5;0;35.04;24;25;21.янв;29.48;28;22;30;#ЗНАЧ!;#ЗНАЧ!;Мехико, Мексика
Rambla de Catalu?a, 23;2;Овощи;Барселона;Магазин распродаж;ТрансСервис;Jusep del pep;Испания;4;(93) 203 4561;25.06.2004;10366;(93) 203 4560;8022;65;Чеснок;1;;2;0;23.84;5;40;авг.68;09.дек;10.май;76;0;226345;101090;Барселона, Испания
Rambla de Catalu?a, 23;2;Овощи;Барселона;Магазин распродаж;ТрансСервис;Jusep del pep;Испания;4;(93) 203 4561;25.06.2004;10366;(93) 203 4560;8022;77;Свекла;1;;12;0;23.84;5;1;окт.95;дек.71;13;32;0;131340;-43525;Барселона, Испания
Vinb?ltet 34;3;Кондитерские изделия;Копенгаген;Род и Вит;ТрансАвтоГруз;Preben Elkjaer;Дания;3;31 13 35 57;26.06.2004;10368;31 12 34 56;1734;21;Пирожное Наполеон;2;;8;0.1;67.63;5;1;авг.78;окт.53;10;3;40;98165;-45350;Копенгаген, Дания
Vinb?ltet 34;5;Мясо/Птица;Копенгаген;Род и Вит;ТрансАвтоГруз;Preben Elkjaer;Дания;3;31 13 35 57;26.06.2004;10368;31 12 34 56;1734;64;Фарш говяжий;2;;12;0.1;67.63;35;1;29.25;32.34;33.25;22;80;#ЗНАЧ!;#ЗНАЧ!;Копенгаген, Дания
Vinb?ltet 34;5;Мясо/Птица;Копенгаген;Род и Вит;ТрансАвтоГруз;Preben Elkjaer;Дания;3;31 13 35 57;26.06.2004;10368;31 12 34 56;1734;57;Фарш свиной;2;;26;0;67.63;25;20;16.14;18.май;19.май;36;0;1126600;#ЗНАЧ!;Копенгаген, Дания
Vinb?ltet 34;7;Крупы;Копенгаген;Род и Вит;ТрансАвтоГруз;Preben Elkjaer;Дания;3;31 13 35 57;26.06.2004;10368;31 12 34 56;1734;28;Рис;2;;12;0.1;67.63;13;1;36.81;47.47;45.6;26;0;#ЗНАЧ!;#ЗНАЧ!;Копенгаген, Дания
P.O. Box 555;5;Мясо/Птица;Ландер;Макарена;АвтоЛогистика;Paul Smith;США;1;(307) 555-6525;29.06.2004;10369;(307) 555-4680;82520;56;Свинина;3;WY;26;0.25;57.37;18;15;34.17;39.42;38;21;10;#ЗНАЧ!;#ЗНАЧ!;Ландер, США
P.O. Box 555;6;Морепродукты;Ландер;Макарена;АвтоЛогистика;Paul Smith;США;1;(307) 555-6525;29.06.2004;10369;(307) 555-4680;82520;29;Креветки;3;WY;12;0;57.37;20;1;100.74;117.78;123.79;0;0;#ЗНАЧ!;#ЗНАЧ!;Ландер, США
1 rue Alsace-Lorraine;8;Приправы;Тулуза;Магнит;ТрансСервис;Louise Davu;Франция;4;61.77.61.11;30.06.2004;10371;61.77.61.10;31000;36;Тмин;1;;17;0.2;66.09;6;20;июн.45;июл.77;8;112;0;169842;70308;Тулуза, Франция
184, chauss?e de Tournai;3;Кондитерские изделия;Лилль;Эконом маркет;ТрансСервис;Jaques Wilneuve;Франция;6;20.16.10.17;03.07.2004;10375;20.16.10.16;59000;54;Десерт медовый;1;;25;0;70.91;10;24;30.27;32.95;35.45;21;0;#ЗНАЧ!;#ЗНАЧ!;Лилль, Франция
184, chauss?e de Tournai;7;Крупы;Лилль;Эконом маркет;ТрансСервис;Jaques Wilneuve;Франция;6;20.16.10.17;03.07.2004;10375;20.16.10.16;59000;14;Пшенная крупа;1;;6;0;70.91;15;21;20.36;21.59;23.25;35;0;#ЗНАЧ!;#ЗНАЧ!;Лилль, Франция
Maubelstr. 90;2;Овощи;Бранденбург;Дешево;ТрансАвтоГруз;Dieter Rummernige;Германия;3;;04.07.2004;10323;0555-09876;14776;15;Капуста;2;;6;0;73.01;5;30;апр.98;06.дек;06.май;39;0;226330;46900;Бранденбург, Германия
Maubelstr. 90;2;Овощи;Бранденбург;Дешево;ТрансАвтоГруз;Dieter Rummernige;Германия;3;;04.07.2004;10323;0555-09876;14776;39;Кукуруза;2;;18;0;73.01;4;3;48.17;61.21;60;69;0;#ЗНАЧ!;#ЗНАЧ!;Бранденбург, Германия
Maubelstr. 90;3;Кондитерские изделия;Бранденбург;Дешево;ТрансАвтоГруз;Dieter Rummernige;Германия;3;;04.07.2004;10323;0555-09876;14776;25;Пирожное Медовик;2;;11;0;73.01;4;1;окт.85;14.34;14;76;0;#ЗНАЧ!;#ЗНАЧ!;Бранденбург, Германия
2732 Baker Blvd.;2;Овощи;Юджин;Магазинчик на Углу;АвтоЛогистика;Ross The Boss;США;1;;06.07.2004;10377;(503) 555-7555;97403;39;Кукуруза;3;OR;18;0.15;49.19;20;3;48.17;59.78;60;69;0;#ЗНАЧ!;#ЗНАЧ!;Юджин, США
2732 Baker Blvd.;7;Крупы;Юджин;Магазинчик на Углу;АвтоЛогистика;Ross The Boss;США;1;;06.07.2004;10377;(503) 555-7555;97403;28;Рис;3;OR;12;0.15;49.19;20;1;36.81;41.18;45.6;26;0;#ЗНАЧ!;#ЗНАЧ!;Юджин, США
35 King George;1;Фрукты;Лондон;Продуктовый магазин;ТрансАвтоГруз;Greg Thatcher;Англия;3;(171) 555-3373;08.07.2004;10327;(171) 555-0297;WX1 6LT;2;Апельсин;2;;1;0.2;65.53;25;10;16.17;19.22;19;17;40;#ЗНАЧ!;#ЗНАЧ!;Лондон, Англия
35 King George;1;Фрукты;Лондон;Продуктовый магазин;ТрансАвтоГруз;Greg Thatcher;Англия;3;(171) 555-3373;08.07.2004;10327;(171) 555-0297;WX1 6LT;11;Киви;2;;5;0.2;65.53;50;25;21.янв;29.янв;28;22;30;2247750;400;Лондон, Англия
8 Johnstown Road;3;Кондитерские изделия;Корк;Волынка;ТрансАвтоГруз;Robert Bolero;Ирландия;3;########;08.07.2004;10350;2 967 542;125 80;69;Булка-улитка;2;;15;0.1;67.66;18;100;янв.65;янв.83;2;26;0;545706;118332;Корк, Ирландия
8 Johnstown Road;4;Молочные продукты;Корк;Волынка;ТрансАвтоГруз;Robert Bolero;Ирландия;3;########;08.07.2004;10350;2 967 542;125 80;50;Творог 1%;2;;23;0.1;67.66;15;1;13.57;16.49;16.25;65;0;#ЗНАЧ!;#ЗНАЧ!;Корк, Ирландия
35 King George;8;Приправы;Лондон;Продуктовый магазин;ТрансАвтоГруз;Greg Thatcher;Англия;3;(171) 555-3373;08.07.2004;10327;(171) 555-0297;WX1 6LT;30;Прованские травы;2;;13;0.2;65.53;35;1;22.71;24.фев;25.89;10;0;1574335;#ЗНАЧ!;Лондон, Англия
35 King George;8;Приправы;Лондон;Продуктовый магазин;ТрансАвтоГруз;Greg Thatcher;Англия;3;(171) 555-3373;08.07.2004;10327;(171) 555-0297;WX1 6LT;58;Бадьян;2;;27;0.2;65.53;30;20;37.17;43.97;48.25;62;0;#ЗНАЧ!;#ЗНАЧ!;Лондон, Англия
8 Johnstown Road;3;Кондитерские изделия;Корк;Волынка;ТрансАвтоГруз;Robert Bolero;Ирландия;2;########;09.07.2004;10271;2 967 542;125 80;33;Десер Фруктовый;2;;15;0;62.31;24;25;20.фев;24.июн;25.май;112;0;1082424;2976;Корк, Ирландия
Berguvsv?gen 8;1;Фрукты;Лулеа;Магазин для всей семьи;ТрансАвтоГруз;Urra Gurra Aktersnurra;Швеция;3;0921-12 34 67;11.07.2004;10280;0921-12 34 65;S-958 22;24;Абрикос;2;;10;0;38.06;12;100;03.сен;апр.25;04.май;20;0;548976;6912;Лулеа, Швеция
Berguvsv?gen 8;1;Фрукты;Лулеа;Магазин для всей семьи;ТрансАвтоГруз;Urra Gurra Aktersnurra;Швеция;3;0921-12 34 67;11.07.2004;10280;0921-12 34 65;S-958 22;75;Хурма;2;;12;0;38.06;30;1;июн.61;июл.21;июл.75;125;0;1331340;658350;Лулеа, Швеция
Berguvsv?gen 8;3;Кондитерские изделия;Лулеа;Магазин для всей семьи;ТрансАвтоГруз;Urra Gurra Aktersnurra;Швеция;3;0921-12 34 67;11.07.2004;10280;0921-12 34 65;S-958 22;55;Десерт низкокалорийный;2;;25;0;38.06;20;20;33.18;42.47;39;115;0;#ЗНАЧ!;#ЗНАЧ!;Лулеа, Швеция
P.O. Box 555;2;Овощи;Ландер;Макарена;АвтоЛогистика;Paul Smith;США;1;(307) 555-6525;12.07.2004;10329;(307) 555-4680;82520;38;Баклажан;3;WY;18;0.05;75.98;20;4;62.38;77.36;80.5;17;0;#ЗНАЧ!;#ЗНАЧ!;Ландер, США
